date;SP500;TBIL
02/01/1990;359,7;7,58
03/01/1990;358,8;7,63
04/01/1990;355,7;7,59
05/01/1990;352,2;7,54
08/01/1990;353,8;7,54
09/01/1990;349,6;7,55
10/01/1990;347,3;7,5
11/01/1990;348,5;7,55
12/01/1990;339,9;7,5
16/01/1990;340,8;7,63
17/01/1990;337,4;7,71
18/01/1990;338,2;7,78
19/01/1990;339,1;7,74
22/01/1990;330,4;7,73
23/01/1990;331,6;7,67
24/01/1990;330,3;7,67
25/01/1990;326,1;7,69
26/01/1990;325,8;7,68
29/01/1990;325,2;7,74
30/01/1990;323;7,74
31/01/1990;329,1;7,74
01/02/1990;328,8;7,76
02/02/1990;330,9;7,81
05/02/1990;331,9;7,82
06/02/1990;329,7;7,82
07/02/1990;333,8;7,81
08/02/1990;333;7,81
09/02/1990;333,6;7,76
12/02/1990;330,1;7,73
13/02/1990;331;7,58
14/02/1990;332;7,61
15/02/1990;334,9;7,71
16/02/1990;332,7;7,69
20/02/1990;328;7,8
21/02/1990;327,7;7,75
22/02/1990;325,7;7,73
23/02/1990;324,1;7,68
26/02/1990;328,7;7,71
27/02/1990;330,3;7,73
28/02/1990;331,9;7,77
01/03/1990;332,7;7,81
02/03/1990;335,5;7,76
05/03/1990;333,7;7,82
06/03/1990;337,9;7,9
07/03/1990;336,9;7,91
08/03/1990;340,3;7,91
09/03/1990;337,9;7,99
12/03/1990;338,7;7,99
13/03/1990;336;7,98
14/03/1990;336,9;7,95
15/03/1990;338,1;7,94
16/03/1990;341,9;7,92
19/03/1990;343,5;7,94
20/03/1990;341,6;7,97
21/03/1990;339,7;7,95
22/03/1990;335,7;7,9
23/03/1990;337,2;7,88
26/03/1990;337,6;7,86
27/03/1990;341,5;7,9
28/03/1990;342;7,85
29/03/1990;340,8;7,83
30/03/1990;339,9;7,8
02/04/1990;338,7;7,78
03/04/1990;343,6;7,82
04/04/1990;341,1;7,75
05/04/1990;340,7;7,76
06/04/1990;340,1;7,76
09/04/1990;341,4;7,82
10/04/1990;342,1;7,78
11/04/1990;341,9;7,76
12/04/1990;344,3;7,76
16/04/1990;344,7;7,74
17/04/1990;344,7;7,76
18/04/1990;340,7;7,81
19/04/1990;338,1;7,79
20/04/1990;335,1;7,69
23/04/1990;331,1;7,73
24/04/1990;330,4;7,76
25/04/1990;332;7,79
26/04/1990;332,9;7,82
27/04/1990;329,1;7,79
30/04/1990;330,8;7,79
01/05/1990;332,2;7,92
02/05/1990;334,5;7,9
03/05/1990;335,6;7,88
04/05/1990;338,4;7,76
07/05/1990;340,5;7,82
08/05/1990;342;7,79
09/05/1990;342,9;7,75
10/05/1990;343,8;7,71
11/05/1990;352;7,62
14/05/1990;354,8;7,63
15/05/1990;354,3;7,65
16/05/1990;354;7,67
17/05/1990;354,5;7,67
18/05/1990;354,6;7,75
21/05/1990;358;7,75
22/05/1990;358,4;7,73
23/05/1990;359,3;7,65
24/05/1990;358,4;7,69
25/05/1990;354,6;7,75
29/05/1990;360,6;7,75
30/05/1990;360,9;7,76
31/05/1990;361,2;7,75
01/06/1990;363,2;7,68
04/06/1990;367,4;7,7
05/06/1990;366,6;7,7
06/06/1990;365;7,7
07/06/1990;363,1;7,7
08/06/1990;358,7;7,7
11/06/1990;361,6;7,73
12/06/1990;366,2;7,73
13/06/1990;364,9;7,67
14/06/1990;362,9;7,66
15/06/1990;362,9;7,69
18/06/1990;356,9;7,67
19/06/1990;358,5;7,74
20/06/1990;359,1;7,76
21/06/1990;360,5;7,77
22/06/1990;355,4;7,78
25/06/1990;352,3;7,79
26/06/1990;352,1;7,8
27/06/1990;355,1;7,78
28/06/1990;357,6;7,74
29/06/1990;358;7,74
02/07/1990;359,5;7,74
03/07/1990;360,2;7,7
05/07/1990;355,7;7,66
06/07/1990;358,4;7,75
09/07/1990;359,5;7,8
10/07/1990;356,5;7,8
11/07/1990;361,2;7,78
12/07/1990;365,4;7,68
13/07/1990;367,3;7,6
16/07/1990;368,9;7,61
17/07/1990;367,5;7,61
18/07/1990;364,2;7,55
19/07/1990;365,3;7,54
20/07/1990;361,6;7,54
23/07/1990;355,3;7,48
24/07/1990;355,8;7,53
25/07/1990;357,1;7,56
26/07/1990;355,9;7,58
27/07/1990;353,4;7,52
30/07/1990;355,6;7,5
31/07/1990;356,1;7,49
01/08/1990;355,5;7,42
02/08/1990;351,5;7,43
03/08/1990;344,9;7,29
06/08/1990;334,4;7,3
07/08/1990;334,8;7,37
08/08/1990;338,4;7,38
09/08/1990;339,9;7,41
10/08/1990;335,5;7,4
13/08/1990;338,8;7,42
14/08/1990;339,4;7,43
15/08/1990;340,1;7,45
16/08/1990;332,4;7,48
17/08/1990;327,8;7,47
20/08/1990;328,5;7,52
21/08/1990;321,9;7,57
22/08/1990;316,6;7,59
23/08/1990;307,1;7,54
24/08/1990;311,5;7,49
27/08/1990;321,4;7,53
28/08/1990;321,3;7,48
29/08/1990;324,2;7,47
30/08/1990;318,7;7,45
31/08/1990;322,6;7,39
04/09/1990;323,1;7,39
05/09/1990;324,4;7,37
06/09/1990;320,5;7,38
07/09/1990;323,4;7,39
10/09/1990;321,6;7,43
11/09/1990;321;7,42
12/09/1990;322,5;7,37
13/09/1990;318,6;7,35
14/09/1990;316,8;7,35
17/09/1990;317,8;7,37
18/09/1990;318,6;7,37
19/09/1990;316,6;7,39
20/09/1990;311,5;7,39
21/09/1990;311,3;7,36
24/09/1990;304,6;7,38
25/09/1990;308,3;7,35
26/09/1990;305,1;7,33
27/09/1990;301;7,23
28/09/1990;306,1;7,14
01/10/1990;314,9;7,13
02/10/1990;315,2;7,18
03/10/1990;311,4;7,15
04/10/1990;312,7;7,13
05/10/1990;311,5;7,04
09/10/1990;305,1;7,17
10/10/1990;300,4;7,2
11/10/1990;295,5;7,12
12/10/1990;300;7,14
15/10/1990;303,2;7,16
16/10/1990;298,9;7,16
17/10/1990;298,8;7,2
18/10/1990;305,7;7,25
19/10/1990;312,5;7,25
22/10/1990;314,8;7,23
23/10/1990;312,4;7,21
24/10/1990;312,6;7,22
25/10/1990;310,2;7,18
26/10/1990;304,7;7,13
29/10/1990;301,9;7,15
30/10/1990;304,1;7,14
31/10/1990;304;7,11
01/11/1990;307;7,05
02/11/1990;311,9;7,08
05/11/1990;314,6;7,08
06/11/1990;311,6;7,08
07/11/1990;306;7,09
08/11/1990;307,6;7,09
09/11/1990;313,7;7,05
13/11/1990;317,7;7,04
14/11/1990;320,4;7,07
15/11/1990;317;7,09
16/11/1990;317,1;7,08
19/11/1990;319,3;7,1
20/11/1990;315,3;7,09
21/11/1990;316;7,04
23/11/1990;315,1;7,03
26/11/1990;316,5;7,03
27/11/1990;318,1;7,04
28/11/1990;317,9;7,06
29/11/1990;316,4;7,03
30/11/1990;322,2;7,02
03/12/1990;324,1;7,05
04/12/1990;326,4;7,01
05/12/1990;329,9;7
06/12/1990;329,1;7
07/12/1990;327,8;6,89
10/12/1990;328,9;6,86
11/12/1990;326,4;6,84
12/12/1990;330,2;6,79
13/12/1990;329,3;6,83
14/12/1990;326,8;6,85
17/12/1990;326;6,81
18/12/1990;330,1;6,73
19/12/1990;330,2;6,62
20/12/1990;330,1;6,55
21/12/1990;331,8;6,59
24/12/1990;329,9;6,53
26/12/1990;330,9;6,48
27/12/1990;328,3;6,47
28/12/1990;328,7;6,45
31/12/1990;330,2;6,44
02/01/1991;326,4;6,46
03/01/1991;321,9;6,44
04/01/1991;321;6,53
07/01/1991;315,4;6,51
08/01/1991;314,9;6,44
09/01/1991;311,5;6,25
10/01/1991;314,5;6,21
11/01/1991;315,2;6,16
14/01/1991;312,5;6,05
15/01/1991;313,7;6,05
16/01/1991;316,2;6,04
17/01/1991;328;6,12
18/01/1991;332,2;6,07
22/01/1991;328,3;6,05
23/01/1991;330,2;6,14
24/01/1991;334,8;6,13
25/01/1991;336,1;6,17
28/01/1991;336;6,25
29/01/1991;335,8;6,22
30/01/1991;340,9;6,2
31/01/1991;343,9;6,19
01/02/1991;343,1;6
04/02/1991;348,3;5,98
05/02/1991;351,3;5,97
06/02/1991;358,1;5,91
07/02/1991;356,5;5,94
08/02/1991;359,4;5,92
11/02/1991;368,6;5,88
12/02/1991;365,5;5,85
13/02/1991;369;5,86
14/02/1991;364,2;5,85
15/02/1991;369,1;5,91
19/02/1991;369,4;5,96
20/02/1991;365,1;5,94
21/02/1991;365;5,92
22/02/1991;365,6;5,95
25/02/1991;367,3;5,99
26/02/1991;362,8;6,04
27/02/1991;367,7;6,03
28/02/1991;367,1;6,04
01/03/1991;370,5;6,09
04/03/1991;369,3;6,06
05/03/1991;376,7;6,05
06/03/1991;376,2;6,08
07/03/1991;375,9;6,07
08/03/1991;374,9;5,97
11/03/1991;373;5,89
12/03/1991;370;5,86
13/03/1991;374,6;5,83
14/03/1991;373,5;5,76
15/03/1991;373,6;5,8
18/03/1991;372,1;5,84
19/03/1991;366,6;5,89
20/03/1991;367,9;5,88
21/03/1991;366,6;5,87
22/03/1991;367,5;5,87
25/03/1991;369,8;5,88
26/03/1991;376,3;5,86
27/03/1991;375,4;5,81
28/03/1991;375,2;5,74
01/04/1991;371,3;5,76
02/04/1991;379,5;5,77
03/04/1991;378,9;5,77
04/04/1991;379,8;5,74
05/04/1991;375,4;5,71
08/04/1991;378,7;5,65
09/04/1991;373,6;5,61
10/04/1991;373,1;5,61
11/04/1991;377,6;5,57
12/04/1991;380,4;5,51
15/04/1991;381,2;5,59
16/04/1991;387,6;5,61
17/04/1991;390,4;5,56
18/04/1991;388,5;5,66
19/04/1991;384,2;5,75
22/04/1991;380,9;5,69
23/04/1991;381,8;5,71
24/04/1991;382,8;5,66
25/04/1991;379,2;5,61
26/04/1991;379;5,62
29/04/1991;373,7;5,59
30/04/1991;375,4;5,51
01/05/1991;380,3;5,54
02/05/1991;380,5;5,46
03/05/1991;380,8;5,47
06/05/1991;380,1;5,46
07/05/1991;377,3;5,5
08/05/1991;378,5;5,5
09/05/1991;383,2;5,48
10/05/1991;375,7;5,48
13/05/1991;376,8;5,47
14/05/1991;371,6;5,49
15/05/1991;368,6;5,45
16/05/1991;372,2;5,4
17/05/1991;372,4;5,4
20/05/1991;372,3;5,45
21/05/1991;375,4;5,5
22/05/1991;376,2;5,46
23/05/1991;375;5,4
24/05/1991;377,5;5,4
28/05/1991;381,9;5,4
29/05/1991;382,8;5,45
30/05/1991;387;5,45
31/05/1991;389,8;5,53
03/06/1991;388,1;5,6
04/06/1991;387,7;5,57
05/06/1991;385,1;5,59
06/06/1991;383,6;5,56
07/06/1991;379,4;5,56
10/06/1991;378,6;5,58
11/06/1991;381,1;5,57
12/06/1991;376,6;5,56
13/06/1991;377,6;5,58
14/06/1991;382,3;5,59
17/06/1991;380,1;5,59
18/06/1991;378,6;5,62
19/06/1991;375,1;5,57
20/06/1991;375,4;5,56
21/06/1991;377,8;5,57
24/06/1991;370,9;5,56
25/06/1991;370,6;5,58
26/06/1991;371,6;5,56
27/06/1991;374,4;5,55
28/06/1991;371,2;5,54
01/07/1991;377,9;5,58
02/07/1991;377,5;5,58
03/07/1991;373,3;5,56
05/07/1991;374,1;5,58
08/07/1991;377,9;5,57
09/07/1991;376,1;5,59
10/07/1991;375,7;5,58
11/07/1991;377;5,56
12/07/1991;380,2;5,55
15/07/1991;382,4;5,57
16/07/1991;381,5;5,59
17/07/1991;381,2;5,61
18/07/1991;385,4;5,59
19/07/1991;384,2;5,58
22/07/1991;382,9;5,57
23/07/1991;379,4;5,59
24/07/1991;378,6;5,58
25/07/1991;381;5,58
26/07/1991;380,9;5,58
29/07/1991;383,1;5,57
30/07/1991;386,7;5,56
31/07/1991;387,8;5,53
01/08/1991;387,1;5,55
